Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
12,12,12,12,1,1.000000,individual,10.177161
12,12,12,6,1,1.000000,hypergraph,9.839174
12,24,12,12,1,1.000000,individual,10.177161
12,24,12,6,1,1.000000,hypergraph,9.839174
12,48,12,12,1,1.000000,individual,10.177161
12,48,12,6,1,1.000000,hypergraph,9.839174
12,96,12,12,1,1.000000,individual,10.177161
12,96,12,6,1,1.000000,hypergraph,9.839174
12,192,12,12,1,1.000000,individual,10.177161
12,192,12,6,1,1.000000,hypergraph,9.839174
12,384,12,12,1,1.000000,individual,10.177161
12,384,12,6,1,1.000000,hypergraph,9.839174
12,768,12,12,1,1.000000,individual,10.177161
12,768,12,6,1,1.000000,hypergraph,9.839174
12,1536,12,12,1,1.000000,individual,10.177161
12,1536,12,6,1,1.000000,hypergraph,9.839174
12,3072,12,12,1,1.000000,individual,10.177161
12,3072,12,6,1,1.000000,hypergraph,9.839174
12,6144,12,12,1,1.000000,individual,10.177161
12,6144,12,6,1,1.000000,hypergraph,9.839174
24,12,12,12,1,1.000000,individual,10.177161
24,12,4,1,1,6.000000,hypergraph,19.108365
24,24,24,24,1,1.000000,individual,20.354322
24,24,20,10,1,1.200000,hypergraph,19.745259
24,48,24,24,1,1.000000,individual,20.354322
24,48,20,10,1,1.200000,hypergraph,19.745259
24,96,24,24,1,1.000000,individual,20.354322
24,96,20,10,1,1.200000,hypergraph,19.745259
24,192,24,24,1,1.000000,individual,20.354322
24,192,20,10,1,1.200000,hypergraph,19.745259
24,384,24,24,1,1.000000,individual,20.354322
24,384,20,10,1,1.200000,hypergraph,19.745259
24,768,24,24,1,1.000000,individual,20.354322
24,768,20,10,1,1.200000,hypergraph,19.745259
24,1536,24,24,1,1.000000,individual,20.354322
24,1536,20,10,1,1.200000,hypergraph,19.745259
24,3072,24,24,1,1.000000,individual,20.354322
24,3072,20,10,1,1.200000,hypergraph,19.745259
24,6144,24,24,1,1.000000,individual,20.354322
24,6144,20,10,1,1.200000,hypergraph,19.745259
48,12,12,12,1,1.000000,individual,10.177161
48,12,8,1,1,5.984655,hypergraph,36.672298
48,24,24,24,1,1.000000,individual,20.354322
48,24,48,16,1,1.000000,hypergraph,38.660176
48,48,48,48,1,1.000000,individual,40.708644
48,48,40,20,1,1.200000,hypergraph,39.511299
48,96,48,48,1,1.000000,individual,40.708644
48,96,40,20,1,1.200000,hypergraph,39.511299
48,192,48,48,1,1.000000,individual,40.708644
48,192,40,20,1,1.200000,hypergraph,39.511299
48,384,48,48,1,1.000000,individual,40.708644
48,384,40,20,1,1.200000,hypergraph,39.511299
48,768,48,48,1,1.000000,individual,40.708644
48,768,40,20,1,1.200000,hypergraph,39.511299
48,1536,48,48,1,1.000000,individual,40.708644
48,1536,40,20,1,1.200000,hypergraph,39.511299
48,3072,48,48,1,1.000000,individual,40.708644
48,3072,40,20,1,1.200000,hypergraph,39.511299
48,6144,48,48,1,1.000000,individual,40.708644
48,6144,40,20,1,1.200000,hypergraph,39.511299
96,12,12,12,1,1.000000,individual,10.177161
96,12,96,10,2,0.943541,hypergraph,65.565065
96,24,24,24,1,1.000000,individual,20.354322
96,24,96,20,2,0.999766,array_8x12,71.662294
96,24,96,16,1,0.992866,hypergraph,74.057692
96,48,48,48,1,1.000000,individual,40.708644
96,48,96,20,2,1.000000,array_8x12,71.679152
96,48,96,32,1,1.000000,hypergraph,77.443709
96,96,96,96,1,1.000000,individual,81.417289
96,96,96,20,2,1.000000,array_8x12,71.679152
96,96,40,20,1,2.400000,hypergraph,79.022599
96,192,96,96,1,1.000000,individual,81.417289
96,192,96,20,2,1.000000,array_8x12,71.679152
96,192,40,20,1,2.400000,hypergraph,79.022599
96,384,96,96,1,1.000000,individual,81.417289
96,384,96,20,2,1.000000,array_8x12,71.679152
96,384,40,20,1,2.400000,hypergraph,79.022599
96,768,96,96,1,1.000000,individual,81.417289
96,768,96,20,2,1.000000,array_8x12,71.679152
96,768,40,20,1,2.400000,hypergraph,79.022599
96,1536,96,96,1,1.000000,individual,81.417289
96,1536,96,20,2,1.000000,array_8x12,71.679152
96,1536,40,20,1,2.400000,hypergraph,79.022599
96,3072,96,96,1,1.000000,individual,81.417289
96,3072,96,20,2,1.000000,array_8x12,71.679152
96,3072,40,20,1,2.400000,hypergraph,79.022599
96,6144,96,96,1,1.000000,individual,81.417289
96,6144,96,20,2,1.000000,array_8x12,71.679152
96,6144,40,20,1,2.400000,hypergraph,79.022599
192,12,12,12,1,1.000000,individual,10.177161
192,12,96,6,2,1.412647,hypergraph,95.275983
192,24,24,24,1,1.000000,individual,20.354322
192,24,96,20,2,1.157369,array_8x12,82.957397
192,24,192,20,2,0.955434,hypergraph,132.819637
192,48,48,48,1,1.000000,individual,40.708644
192,48,96,20,2,1.999531,array_8x12,143.324589
192,48,192,32,1,0.992913,hypergraph,148.425030
