viral_load_matrix	Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	100
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 0; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 1; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 2; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 3; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8182
Time: 4; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.7879
Time: 5; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8704
Time: 6; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8539
Time: 7; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9268
Time: 8; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9592
Time: 9; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9281
Time: 10; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8818
Time: 22; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.8763
Time: 23; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.8629
Time: 24; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.8516
