viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../simulation/Simulated_populations/used_pars_swab.csv
savepath	designs/hypergraph/
n_individuals	96
m_pools	8
q_split	1
start_time	10
end_time	120
fp_rate	0.01
LOD	4.0
pool_compositions	../simulation/designs/hypergraph/Design.n-96_m-8_q-1.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: ../simulation/designs/hypergraph/Design.n-96_m-8_q-1.npy
Time: 10; Case frequency: 0.00002; Efficiency: 10.69; Sensitivity: 0.9542; Fraction >LOD: 0.9692
Time: 11; Case frequency: 0.00002; Efficiency: 10.69; Sensitivity: 0.9461; Fraction >LOD: 0.9789
Time: 12; Case frequency: 0.00002; Efficiency: 10.70; Sensitivity: 0.9537; Fraction >LOD: 0.9923
Time: 13; Case frequency: 0.00002; Efficiency: 10.68; Sensitivity: 0.9556; Fraction >LOD: 0.9899
Time: 14; Case frequency: 0.00003; Efficiency: 10.71; Sensitivity: 0.9461; Fraction >LOD: 0.9880
Time: 15; Case frequency: 0.00003; Efficiency: 10.69; Sensitivity: 0.9591; Fraction >LOD: 0.9840
Time: 16; Case frequency: 0.00003; Efficiency: 10.66; Sensitivity: 0.9356; Fraction >LOD: 0.9720
Time: 17; Case frequency: 0.00004; Efficiency: 10.67; Sensitivity: 0.9374; Fraction >LOD: 0.9834
Time: 18; Case frequency: 0.00004; Efficiency: 10.66; Sensitivity: 0.9326; Fraction >LOD: 0.9761
Time: 19; Case frequency: 0.00005; Efficiency: 10.64; Sensitivity: 0.8985; Fraction >LOD: 0.9707
Time: 20; Case frequency: 0.00006; Efficiency: 10.65; Sensitivity: 0.9026; Fraction >LOD: 0.9661
Time: 21; Case frequency: 0.00006; Efficiency: 10.64; Sensitivity: 0.8957; Fraction >LOD: 0.9610
Time: 22; Case frequency: 0.00007; Efficiency: 10.64; Sensitivity: 0.9030; Fraction >LOD: 0.9655
Time: 23; Case frequency: 0.00007; Efficiency: 10.62; Sensitivity: 0.8848; Fraction >LOD: 0.9587
Time: 24; Case frequency: 0.00008; Efficiency: 10.63; Sensitivity: 0.8688; Fraction >LOD: 0.9604
Time: 25; Case frequency: 0.00009; Efficiency: 10.61; Sensitivity: 0.8553; Fraction >LOD: 0.9501
Time: 26; Case frequency: 0.00010; Efficiency: 10.59; Sensitivity: 0.8606; Fraction >LOD: 0.9465
Time: 27; Case frequency: 0.00011; Efficiency: 10.61; Sensitivity: 0.8786; Fraction >LOD: 0.9480
Time: 28; Case frequency: 0.00012; Efficiency: 10.57; Sensitivity: 0.8772; Fraction >LOD: 0.9578
Time: 29; Case frequency: 0.00013; Efficiency: 10.56; Sensitivity: 0.8750; Fraction >LOD: 0.9581
Time: 30; Case frequency: 0.00014; Efficiency: 10.56; Sensitivity: 0.8768; Fraction >LOD: 0.9489
Time: 31; Case frequency: 0.00015; Efficiency: 10.54; Sensitivity: 0.8681; Fraction >LOD: 0.9540
Time: 32; Case frequency: 0.00017; Efficiency: 10.51; Sensitivity: 0.8780; Fraction >LOD: 0.9533
Time: 33; Case frequency: 0.00019; Efficiency: 10.50; Sensitivity: 0.8844; Fraction >LOD: 0.9551
Time: 34; Case frequency: 0.00020; Efficiency: 10.49; Sensitivity: 0.8764; Fraction >LOD: 0.9563
Time: 35; Case frequency: 0.00022; Efficiency: 10.47; Sensitivity: 0.8645; Fraction >LOD: 0.9548
Time: 36; Case frequency: 0.00024; Efficiency: 10.44; Sensitivity: 0.8545; Fraction >LOD: 0.9527
Time: 37; Case frequency: 0.00027; Efficiency: 10.41; Sensitivity: 0.8501; Fraction >LOD: 0.9469
Time: 38; Case frequency: 0.00029; Efficiency: 10.40; Sensitivity: 0.8832; Fraction >LOD: 0.9519
Time: 39; Case frequency: 0.00031; Efficiency: 10.37; Sensitivity: 0.8689; Fraction >LOD: 0.9504
Time: 40; Case frequency: 0.00034; Efficiency: 10.31; Sensitivity: 0.8828; Fraction >LOD: 0.9550
Time: 41; Case frequency: 0.00037; Efficiency: 10.27; Sensitivity: 0.8804; Fraction >LOD: 0.9546
Time: 42; Case frequency: 0.00040; Efficiency: 10.24; Sensitivity: 0.8709; Fraction >LOD: 0.9485
Time: 43; Case frequency: 0.00044; Efficiency: 10.24; Sensitivity: 0.8752; Fraction >LOD: 0.9534
Time: 44; Case frequency: 0.00048; Efficiency: 10.18; Sensitivity: 0.8816; Fraction >LOD: 0.9515
Time: 45; Case frequency: 0.00052; Efficiency: 10.13; Sensitivity: 0.8840; Fraction >LOD: 0.9552
Time: 46; Case frequency: 0.00057; Efficiency: 10.09; Sensitivity: 0.8905; Fraction >LOD: 0.9564
Time: 47; Case frequency: 0.00062; Efficiency: 10.02; Sensitivity: 0.8836; Fraction >LOD: 0.9582
Time: 48; Case frequency: 0.00068; Efficiency: 9.97; Sensitivity: 0.8605; Fraction >LOD: 0.9555
Time: 49; Case frequency: 0.00074; Efficiency: 9.88; Sensitivity: 0.8800; Fraction >LOD: 0.9548
Time: 50; Case frequency: 0.00081; Efficiency: 9.83; Sensitivity: 0.8577; Fraction >LOD: 0.9513
Time: 51; Case frequency: 0.00088; Efficiency: 9.78; Sensitivity: 0.8713; Fraction >LOD: 0.9525
Time: 52; Case frequency: 0.00095; Efficiency: 9.72; Sensitivity: 0.8613; Fraction >LOD: 0.9528
Time: 53; Case frequency: 0.00104; Efficiency: 9.62; Sensitivity: 0.8752; Fraction >LOD: 0.9500
Time: 54; Case frequency: 0.00113; Efficiency: 9.63; Sensitivity: 0.8609; Fraction >LOD: 0.9480
Time: 55; Case frequency: 0.00123; Efficiency: 9.40; Sensitivity: 0.8800; Fraction >LOD: 0.9517
Time: 56; Case frequency: 0.00134; Efficiency: 9.28; Sensitivity: 0.8669; Fraction >LOD: 0.9523
Time: 57; Case frequency: 0.00146; Efficiency: 9.23; Sensitivity: 0.8784; Fraction >LOD: 0.9519
Time: 58; Case frequency: 0.00159; Efficiency: 9.11; Sensitivity: 0.8717; Fraction >LOD: 0.9501
Time: 59; Case frequency: 0.00174; Efficiency: 8.99; Sensitivity: 0.8637; Fraction >LOD: 0.9526
Time: 60; Case frequency: 0.00189; Efficiency: 8.87; Sensitivity: 0.8717; Fraction >LOD: 0.9536
