viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	4.0
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 0; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 1; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 2; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 3; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 4; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.9091
Time: 5; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.9815
Time: 6; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9326
Time: 7; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9756
Time: 8; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9864
Time: 9; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9760
Time: 10; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9692
Time: 11; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9789
Time: 12; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9923
Time: 13; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9899
Time: 14; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9880
Time: 15; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9840
Time: 16; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9720
Time: 17; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.9834
Time: 18; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.9761
Time: 19; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.9707
Time: 20; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.9661
Time: 21; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.9610
Time: 22; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.9655
Time: 23; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.9587
Time: 24; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.9604
