viral_load_matrix	../sim,kinetics/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../sim,kinetics/Simulated_populations/used_pars_swab.csv
savepath	designs/balcu,array/
n_individuals	192
m_pools	12
q_split	3
start_time	10
end_time	120
fp_rate	0.01
LOD	100
pool_compositions	designs/balcu,array/Design.n-192_m-12_q-3.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: designs/balcu,array/Design.n-192_m-12_q-3.npy
Time: 10; Case frequency: 0.00002; Efficiency: 15.99; Sensitivity: 0.8736; Fraction >LOD: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 15.99; Sensitivity: 0.8520; Fraction >LOD: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 15.98; Sensitivity: 0.9001; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 15.98; Sensitivity: 0.8678; Fraction >LOD: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 15.98; Sensitivity: 0.8224; Fraction >LOD: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 15.98; Sensitivity: 0.8095; Fraction >LOD: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 15.98; Sensitivity: 0.7402; Fraction >LOD: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 15.98; Sensitivity: 0.7428; Fraction >LOD: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 15.98; Sensitivity: 0.6608; Fraction >LOD: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 15.97; Sensitivity: 0.6882; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 15.97; Sensitivity: 0.6799; Fraction >LOD: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 15.96; Sensitivity: 0.6712; Fraction >LOD: 0.8818
Time: 22; Case frequency: 0.00007; Efficiency: 15.96; Sensitivity: 0.7205; Fraction >LOD: 0.8763
Time: 23; Case frequency: 0.00007; Efficiency: 15.95; Sensitivity: 0.7165; Fraction >LOD: 0.8629
Time: 24; Case frequency: 0.00008; Efficiency: 15.95; Sensitivity: 0.6893; Fraction >LOD: 0.8516
Time: 25; Case frequency: 0.00009; Efficiency: 15.95; Sensitivity: 0.7033; Fraction >LOD: 0.8449
Time: 26; Case frequency: 0.00010; Efficiency: 15.94; Sensitivity: 0.6605; Fraction >LOD: 0.8458
Time: 27; Case frequency: 0.00011; Efficiency: 15.94; Sensitivity: 0.6989; Fraction >LOD: 0.8567
Time: 28; Case frequency: 0.00012; Efficiency: 15.93; Sensitivity: 0.6965; Fraction >LOD: 0.8543
Time: 29; Case frequency: 0.00013; Efficiency: 15.92; Sensitivity: 0.6769; Fraction >LOD: 0.8507
Time: 30; Case frequency: 0.00014; Efficiency: 15.92; Sensitivity: 0.6709; Fraction >LOD: 0.8455
Time: 31; Case frequency: 0.00015; Efficiency: 15.91; Sensitivity: 0.6609; Fraction >LOD: 0.8516
Time: 32; Case frequency: 0.00017; Efficiency: 15.90; Sensitivity: 0.6441; Fraction >LOD: 0.8485
Time: 33; Case frequency: 0.00019; Efficiency: 15.88; Sensitivity: 0.6649; Fraction >LOD: 0.8576
Time: 34; Case frequency: 0.00020; Efficiency: 15.88; Sensitivity: 0.6777; Fraction >LOD: 0.8465
Time: 35; Case frequency: 0.00022; Efficiency: 15.87; Sensitivity: 0.6557; Fraction >LOD: 0.8403
Time: 36; Case frequency: 0.00024; Efficiency: 15.86; Sensitivity: 0.6677; Fraction >LOD: 0.8327
Time: 37; Case frequency: 0.00027; Efficiency: 15.84; Sensitivity: 0.6917; Fraction >LOD: 0.8417
Time: 38; Case frequency: 0.00029; Efficiency: 15.83; Sensitivity: 0.6881; Fraction >LOD: 0.8474
Time: 39; Case frequency: 0.00031; Efficiency: 15.82; Sensitivity: 0.6829; Fraction >LOD: 0.8504
Time: 40; Case frequency: 0.00034; Efficiency: 15.80; Sensitivity: 0.6817; Fraction >LOD: 0.8526
Time: 41; Case frequency: 0.00037; Efficiency: 15.78; Sensitivity: 0.6813; Fraction >LOD: 0.8528
Time: 42; Case frequency: 0.00040; Efficiency: 15.76; Sensitivity: 0.6865; Fraction >LOD: 0.8468
Time: 43; Case frequency: 0.00044; Efficiency: 15.74; Sensitivity: 0.6809; Fraction >LOD: 0.8554
Time: 44; Case frequency: 0.00048; Efficiency: 15.69; Sensitivity: 0.6853; Fraction >LOD: 0.8552
Time: 45; Case frequency: 0.00052; Efficiency: 15.67; Sensitivity: 0.6821; Fraction >LOD: 0.8575
Time: 46; Case frequency: 0.00057; Efficiency: 15.62; Sensitivity: 0.6885; Fraction >LOD: 0.8520
Time: 47; Case frequency: 0.00062; Efficiency: 15.60; Sensitivity: 0.6889; Fraction >LOD: 0.8570
Time: 48; Case frequency: 0.00068; Efficiency: 15.57; Sensitivity: 0.6797; Fraction >LOD: 0.8500
