viral_load_matrix	../sim,kinetics/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../sim,kinetics/Simulated_populations/used_pars_swab.csv
savepath	designs/lex,code,f3/
n_individuals	1536
m_pools	24
q_split	3
start_time	10
end_time	120
fp_rate	0.01
LOD	100
pool_compositions	designs/lex,code,f3/Design.n-1536_m-24_q-3.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: designs/lex,code,f3/Design.n-1536_m-24_q-3.npy
Time: 10; Case frequency: 0.00002; Efficiency: 63.79; Sensitivity: 0.8437; Fraction >LOD: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 63.76; Sensitivity: 0.8161; Fraction >LOD: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 63.72; Sensitivity: 0.8381; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 63.68; Sensitivity: 0.8257; Fraction >LOD: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 63.68; Sensitivity: 0.7405; Fraction >LOD: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 63.65; Sensitivity: 0.7181; Fraction >LOD: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 63.65; Sensitivity: 0.6491; Fraction >LOD: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 63.61; Sensitivity: 0.6166; Fraction >LOD: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 63.57; Sensitivity: 0.6166; Fraction >LOD: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 63.51; Sensitivity: 0.6034; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 63.44; Sensitivity: 0.5994; Fraction >LOD: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 63.35; Sensitivity: 0.6058; Fraction >LOD: 0.8818
Time: 22; Case frequency: 0.00007; Efficiency: 63.27; Sensitivity: 0.6389; Fraction >LOD: 0.8763
Time: 23; Case frequency: 0.00007; Efficiency: 63.23; Sensitivity: 0.6281; Fraction >LOD: 0.8629
Time: 24; Case frequency: 0.00008; Efficiency: 63.15; Sensitivity: 0.6321; Fraction >LOD: 0.8516
Time: 25; Case frequency: 0.00009; Efficiency: 63.00; Sensitivity: 0.6143; Fraction >LOD: 0.8449
Time: 26; Case frequency: 0.00010; Efficiency: 62.98; Sensitivity: 0.5911; Fraction >LOD: 0.8458
Time: 27; Case frequency: 0.00011; Efficiency: 62.77; Sensitivity: 0.6317; Fraction >LOD: 0.8567
Time: 28; Case frequency: 0.00012; Efficiency: 62.72; Sensitivity: 0.6022; Fraction >LOD: 0.8543
Time: 29; Case frequency: 0.00013; Efficiency: 62.53; Sensitivity: 0.6098; Fraction >LOD: 0.8507
Time: 30; Case frequency: 0.00014; Efficiency: 62.47; Sensitivity: 0.5770; Fraction >LOD: 0.8455
Time: 31; Case frequency: 0.00015; Efficiency: 62.38; Sensitivity: 0.5790; Fraction >LOD: 0.8516
Time: 32; Case frequency: 0.00017; Efficiency: 62.06; Sensitivity: 0.5862; Fraction >LOD: 0.8485
Time: 33; Case frequency: 0.00019; Efficiency: 61.83; Sensitivity: 0.6114; Fraction >LOD: 0.8576
Time: 34; Case frequency: 0.00020; Efficiency: 61.53; Sensitivity: 0.6114; Fraction >LOD: 0.8465
Time: 35; Case frequency: 0.00022; Efficiency: 61.31; Sensitivity: 0.6074; Fraction >LOD: 0.8403
Time: 36; Case frequency: 0.00024; Efficiency: 61.01; Sensitivity: 0.5923; Fraction >LOD: 0.8327
Time: 37; Case frequency: 0.00027; Efficiency: 60.67; Sensitivity: 0.6199; Fraction >LOD: 0.8417
Time: 38; Case frequency: 0.00029; Efficiency: 60.17; Sensitivity: 0.6389; Fraction >LOD: 0.8474
Time: 39; Case frequency: 0.00031; Efficiency: 59.99; Sensitivity: 0.6058; Fraction >LOD: 0.8504
Time: 40; Case frequency: 0.00034; Efficiency: 59.26; Sensitivity: 0.6198; Fraction >LOD: 0.8526
Time: 41; Case frequency: 0.00037; Efficiency: 58.98; Sensitivity: 0.5914; Fraction >LOD: 0.8528
Time: 42; Case frequency: 0.00040; Efficiency: 57.89; Sensitivity: 0.6117; Fraction >LOD: 0.8468
Time: 43; Case frequency: 0.00044; Efficiency: 56.83; Sensitivity: 0.6210; Fraction >LOD: 0.8554
