viral_load_matrix	../sim,kinetics/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
infection_time	../sim,kinetics/Simulated_populations/used_pars_swab.csv
savepath	../../../collab-extras/code/supp,dd,decoder/designs/hypergraph/
n_individuals	288
m_pools	12
q_split	3
start_time	10
end_time	120
fp_rate	0.01
LOD	100
pool_compositions	../../../public/simulation/designs/hypergraph/Design.n-288_m-12_q-3.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
loading pools from: ../../../public/simulation/designs/hypergraph/Design.n-288_m-12_q-3.npy
Time: 10; Case frequency: 0.00002; Efficiency: 24.00; Sensitivity: 0.4355; Fraction >LOD: 0.9282
Time: 11; Case frequency: 0.00002; Efficiency: 24.00; Sensitivity: 0.4164; Fraction >LOD: 0.9198
Time: 12; Case frequency: 0.00002; Efficiency: 23.99; Sensitivity: 0.4358; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00002; Efficiency: 23.99; Sensitivity: 0.3959; Fraction >LOD: 0.9561
Time: 14; Case frequency: 0.00003; Efficiency: 23.99; Sensitivity: 0.3901; Fraction >LOD: 0.9518
Time: 15; Case frequency: 0.00003; Efficiency: 23.99; Sensitivity: 0.3736; Fraction >LOD: 0.9468
Time: 16; Case frequency: 0.00003; Efficiency: 23.99; Sensitivity: 0.3437; Fraction >LOD: 0.9112
Time: 17; Case frequency: 0.00004; Efficiency: 23.99; Sensitivity: 0.3419; Fraction >LOD: 0.9210
Time: 18; Case frequency: 0.00004; Efficiency: 23.99; Sensitivity: 0.3354; Fraction >LOD: 0.8934
Time: 19; Case frequency: 0.00005; Efficiency: 23.99; Sensitivity: 0.3115; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00006; Efficiency: 23.99; Sensitivity: 0.3131; Fraction >LOD: 0.8755
Time: 21; Case frequency: 0.00006; Efficiency: 23.99; Sensitivity: 0.2959; Fraction >LOD: 0.8818
Time: 22; Case frequency: 0.00007; Efficiency: 23.99; Sensitivity: 0.3247; Fraction >LOD: 0.8763
Time: 23; Case frequency: 0.00007; Efficiency: 23.99; Sensitivity: 0.3295; Fraction >LOD: 0.8629
Time: 24; Case frequency: 0.00008; Efficiency: 23.98; Sensitivity: 0.3131; Fraction >LOD: 0.8516
Time: 25; Case frequency: 0.00009; Efficiency: 23.98; Sensitivity: 0.3043; Fraction >LOD: 0.8449
Time: 26; Case frequency: 0.00010; Efficiency: 23.98; Sensitivity: 0.3127; Fraction >LOD: 0.8458
Time: 27; Case frequency: 0.00011; Efficiency: 23.98; Sensitivity: 0.3131; Fraction >LOD: 0.8567
Time: 28; Case frequency: 0.00012; Efficiency: 23.98; Sensitivity: 0.3119; Fraction >LOD: 0.8543
Time: 29; Case frequency: 0.00013; Efficiency: 23.98; Sensitivity: 0.3059; Fraction >LOD: 0.8507
Time: 30; Case frequency: 0.00014; Efficiency: 23.98; Sensitivity: 0.2899; Fraction >LOD: 0.8455
Time: 31; Case frequency: 0.00015; Efficiency: 23.97; Sensitivity: 0.2923; Fraction >LOD: 0.8516
Time: 32; Case frequency: 0.00017; Efficiency: 23.97; Sensitivity: 0.2983; Fraction >LOD: 0.8485
Time: 33; Case frequency: 0.00019; Efficiency: 23.97; Sensitivity: 0.2971; Fraction >LOD: 0.8576
Time: 34; Case frequency: 0.00020; Efficiency: 23.96; Sensitivity: 0.3103; Fraction >LOD: 0.8465
Time: 35; Case frequency: 0.00022; Efficiency: 23.96; Sensitivity: 0.3007; Fraction >LOD: 0.8403
Time: 36; Case frequency: 0.00024; Efficiency: 23.96; Sensitivity: 0.2919; Fraction >LOD: 0.8327
Time: 37; Case frequency: 0.00027; Efficiency: 23.95; Sensitivity: 0.2979; Fraction >LOD: 0.8417
Time: 38; Case frequency: 0.00029; Efficiency: 23.95; Sensitivity: 0.3103; Fraction >LOD: 0.8474
Time: 39; Case frequency: 0.00031; Efficiency: 23.94; Sensitivity: 0.3219; Fraction >LOD: 0.8504
Time: 40; Case frequency: 0.00034; Efficiency: 23.94; Sensitivity: 0.2951; Fraction >LOD: 0.8526
Time: 41; Case frequency: 0.00037; Efficiency: 23.94; Sensitivity: 0.2967; Fraction >LOD: 0.8528
Time: 42; Case frequency: 0.00040; Efficiency: 23.93; Sensitivity: 0.3067; Fraction >LOD: 0.8468
Time: 43; Case frequency: 0.00044; Efficiency: 23.92; Sensitivity: 0.3083; Fraction >LOD: 0.8554
Time: 44; Case frequency: 0.00048; Efficiency: 23.92; Sensitivity: 0.2951; Fraction >LOD: 0.8552
Time: 45; Case frequency: 0.00052; Efficiency: 23.92; Sensitivity: 0.2771; Fraction >LOD: 0.8575
Time: 46; Case frequency: 0.00057; Efficiency: 23.91; Sensitivity: 0.2619; Fraction >LOD: 0.8520
Time: 47; Case frequency: 0.00062; Efficiency: 23.89; Sensitivity: 0.3003; Fraction >LOD: 0.8570
Time: 48; Case frequency: 0.00068; Efficiency: 23.89; Sensitivity: 0.2675; Fraction >LOD: 0.8500
