viral_load_matrix	Simulated_populations_two_wave/seir_viral_loads_swab_switch_SEIR_new_1.viral_loads.npz
infection_time	Simulated_populations_two_wave/used_pars_swab_switch_SEIR_new_1.csv
savepath	designs/hypergraph/
n_individuals	384
m_pools	16
q_split	1
start_time	0
end_time	200
fp_rate	0.01
LOD	100
pool_compositions	../simulation/designs/hypergraph/Design.n-384_m-16_q-1.npy
expected_pos_prob	0.95
error_tol	0
parsed infection times for 12500000 individuals
loaded viral load matrix with shape (12500000, 201) and 16654585 entries
loading pools from: ../simulation/designs/hypergraph/Design.n-384_m-16_q-1.npy
Time: 0; Case frequency: 0.00000; Efficiency: 19.35; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 1; Case frequency: 0.00000; Efficiency: 19.37; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 2; Case frequency: 0.00000; Efficiency: 19.38; Sensitivity: 1.0000; Fraction >LOD: nan
Time: 3; Case frequency: 0.00000; Efficiency: 19.37; Sensitivity: 0.2464; Fraction >LOD: 0.6364
Time: 4; Case frequency: 0.00000; Efficiency: 19.33; Sensitivity: 0.5613; Fraction >LOD: 0.6286
Time: 5; Case frequency: 0.00001; Efficiency: 19.32; Sensitivity: 0.8713; Fraction >LOD: 0.9538
Time: 6; Case frequency: 0.00001; Efficiency: 19.27; Sensitivity: 0.7812; Fraction >LOD: 0.8627
Time: 7; Case frequency: 0.00001; Efficiency: 19.24; Sensitivity: 0.8524; Fraction >LOD: 0.9111
Time: 8; Case frequency: 0.00001; Efficiency: 19.27; Sensitivity: 0.8787; Fraction >LOD: 0.9302
Time: 9; Case frequency: 0.00002; Efficiency: 19.23; Sensitivity: 0.9055; Fraction >LOD: 0.9450
Time: 10; Case frequency: 0.00002; Efficiency: 19.21; Sensitivity: 0.9431; Fraction >LOD: 0.9640
Time: 11; Case frequency: 0.00002; Efficiency: 19.19; Sensitivity: 0.8984; Fraction >LOD: 0.9400
Time: 12; Case frequency: 0.00002; Efficiency: 19.19; Sensitivity: 0.8900; Fraction >LOD: 0.9615
Time: 13; Case frequency: 0.00003; Efficiency: 19.18; Sensitivity: 0.8871; Fraction >LOD: 0.9565
Time: 14; Case frequency: 0.00003; Efficiency: 19.14; Sensitivity: 0.8598; Fraction >LOD: 0.9365
Time: 15; Case frequency: 0.00003; Efficiency: 19.13; Sensitivity: 0.8211; Fraction >LOD: 0.9250
Time: 16; Case frequency: 0.00004; Efficiency: 19.13; Sensitivity: 0.7877; Fraction >LOD: 0.9131
Time: 17; Case frequency: 0.00004; Efficiency: 19.11; Sensitivity: 0.7745; Fraction >LOD: 0.9096
Time: 18; Case frequency: 0.00004; Efficiency: 19.02; Sensitivity: 0.7397; Fraction >LOD: 0.8887
Time: 19; Case frequency: 0.00005; Efficiency: 19.03; Sensitivity: 0.7229; Fraction >LOD: 0.8730
Time: 20; Case frequency: 0.00005; Efficiency: 19.06; Sensitivity: 0.7081; Fraction >LOD: 0.8725
Time: 21; Case frequency: 0.00006; Efficiency: 18.98; Sensitivity: 0.7433; Fraction >LOD: 0.8591
Time: 22; Case frequency: 0.00006; Efficiency: 18.95; Sensitivity: 0.7185; Fraction >LOD: 0.8550
Time: 23; Case frequency: 0.00007; Efficiency: 18.96; Sensitivity: 0.6921; Fraction >LOD: 0.8570
Time: 24; Case frequency: 0.00008; Efficiency: 18.83; Sensitivity: 0.6905; Fraction >LOD: 0.8408
Time: 25; Case frequency: 0.00008; Efficiency: 18.92; Sensitivity: 0.6977; Fraction >LOD: 0.8372
Time: 26; Case frequency: 0.00009; Efficiency: 18.83; Sensitivity: 0.7121; Fraction >LOD: 0.8367
Time: 27; Case frequency: 0.00010; Efficiency: 18.72; Sensitivity: 0.7469; Fraction >LOD: 0.8357
Time: 28; Case frequency: 0.00011; Efficiency: 18.72; Sensitivity: 0.7317; Fraction >LOD: 0.8371
Time: 29; Case frequency: 0.00012; Efficiency: 18.71; Sensitivity: 0.7217; Fraction >LOD: 0.8550
Time: 30; Case frequency: 0.00013; Efficiency: 18.60; Sensitivity: 0.7341; Fraction >LOD: 0.8531
Time: 31; Case frequency: 0.00014; Efficiency: 18.41; Sensitivity: 0.7381; Fraction >LOD: 0.8534
Time: 32; Case frequency: 0.00015; Efficiency: 18.38; Sensitivity: 0.7337; Fraction >LOD: 0.8525
Time: 33; Case frequency: 0.00017; Efficiency: 18.39; Sensitivity: 0.7205; Fraction >LOD: 0.8610
