viral_load_matrix	Simulated_populations_two_wave/seir_viral_loads_swab_switch_SEIR_new_1.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	200
LOD	100
loaded viral load matrix with shape (12500000, 201) and 16654585 entries
Time: 0; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 1; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 2; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 3; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6364
Time: 4; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.6286
Time: 5; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9538
Time: 6; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8627
Time: 7; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9111
Time: 8; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.9302
Time: 9; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9450
Time: 10; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9640
Time: 11; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9400
Time: 12; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.9615
Time: 13; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9565
Time: 14; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9365
Time: 15; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.9250
Time: 16; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.9131
Time: 17; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.9096
Time: 18; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.8887
Time: 19; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8730
Time: 20; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.8725
Time: 21; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8591
Time: 22; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.8550
Time: 23; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.8570
Time: 24; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.8408
